day,weekday,city,area,storage_id,name,capacity,hours_read,peak,peak_pct,carry_in,bags_in,deposits
2026-09-26,weekend,aosta,city-center,6451191,Luggage Storage Aosta Railway Station,100,7,0,0.0,0,0,0.0
2026-09-25,weekday,aosta,city-center,6451955,Luggage Storage Leper'S Tower,20,3,0,0.0,0,0,0.0
2026-09-26,weekend,aosta,city-center,6451955,Luggage Storage Leper'S Tower,20,2,0,0.0,0,0,0.0
2026-09-23,weekday,aosta,train-station,3864,Luggage Storage Aosta Train Station,10,2,0,0.0,0,0,0.0
2026-09-24,weekday,aosta,train-station,3864,Luggage Storage Aosta Train Station,10,3,0,0.0,0,0,0.0
2026-09-25,weekday,aosta,train-station,3864,Luggage Storage Aosta Train Station,10,8,0,0.0,0,0,0.0
2026-09-26,weekend,aosta,train-station,3864,Luggage Storage Aosta Train Station,10,9,0,0.0,0,0,0.0
2026-09-23,weekday,aosta,train-station,3895,Luggage Storage Transit Station Aosta,65,1,3,4.6,3,0,1.5
2026-09-24,weekday,aosta,train-station,3895,Luggage Storage Transit Station Aosta,65,5,3,4.6,1,2,1.5
2026-09-25,weekday,aosta,train-station,3895,Luggage Storage Transit Station Aosta,65,6,5,7.7,1,4,2.5
2026-09-26,weekend,aosta,train-station,3895,Luggage Storage Transit Station Aosta,65,11,2,3.1,1,1,1.0
2026-09-24,weekday,aosta,train-station,6451201,Luggage Storage Aosta Cathedral,10,2,0,0.0,0,0,0.0
2026-09-25,weekday,aosta,train-station,6451201,Luggage Storage Aosta Cathedral,10,4,0,0.0,0,0,0.0
2026-09-26,weekend,aosta,train-station,6451201,Luggage Storage Aosta Cathedral,10,4,0,0.0,0,0,0.0
2026-09-23,weekday,arezzo,arezzo-train-station,6451175,Luggage Storage Campo Di Marte / Arezzo Station,25,1,0,0.0,0,0,0.0
2026-09-24,weekday,arezzo,arezzo-train-station,6451175,Luggage Storage Campo Di Marte / Arezzo Station,25,1,0,0.0,0,0,0.0
2026-09-25,weekday,arezzo,arezzo-train-station,6451175,Luggage Storage Campo Di Marte / Arezzo Station,25,6,0,0.0,0,0,0.0
2026-09-26,weekend,arezzo,arezzo-train-station,6451175,Luggage Storage Campo Di Marte / Arezzo Station,25,8,0,0.0,0,0,0.0
2026-09-23,weekday,arezzo,arezzo-train-station,6456122,Luggage Storage near Arezzo Station,15,1,0,0.0,0,0,0.0
2026-09-24,weekday,arezzo,arezzo-train-station,6456122,Luggage Storage near Arezzo Station,15,1,0,0.0,0,0,0.0
2026-09-25,weekday,arezzo,arezzo-train-station,6456122,Luggage Storage near Arezzo Station,15,4,0,0.0,0,0,0.0
2026-09-23,weekday,arezzo,city-center,9266,Luggage Storage Arezzo Railway Station,50,1,2,4.0,2,0,1.0
2026-09-24,weekday,arezzo,city-center,9266,Luggage Storage Arezzo Railway Station,50,1,2,4.0,2,0,1.0
2026-09-25,weekday,arezzo,city-center,9266,Luggage Storage Arezzo Railway Station,50,7,6,12.0,4,2,3.0
2026-09-26,weekend,arezzo,city-center,9266,Luggage Storage Arezzo Railway Station,50,8,8,16.0,1,7,4.0
2026-09-23,weekday,arezzo,city-center,9270,Luggage Storage Via Petrarca,50,1,0,0.0,0,0,0.0
2026-09-24,weekday,arezzo,city-center,9270,Luggage Storage Via Petrarca,50,1,0,0.0,0,0,0.0
2026-09-25,weekday,arezzo,city-center,9270,Luggage Storage Via Petrarca,50,3,0,0.0,0,0,0.0
2026-09-26,weekend,arezzo,city-center,9270,Luggage Storage Via Petrarca,50,5,0,0.0,0,0,0.0
2026-09-23,weekday,arezzo,city-center,9278,Luggage Storage Porta Sant'Andrea,30,1,0,0.0,0,0,0.0
2026-09-24,weekday,arezzo,city-center,9278,Luggage Storage Porta Sant'Andrea,30,1,0,0.0,0,0,0.0
2026-09-25,weekday,arezzo,city-center,9278,Luggage Storage Porta Sant'Andrea,30,5,0,0.0,0,0,0.0
2026-09-26,weekend,arezzo,city-center,9278,Luggage Storage Porta Sant'Andrea,30,8,30,100.0,0,30,15.0
2026-09-23,weekday,arezzo,city-center,9279,Luggage Storage Piazza Grande,15,1,0,0.0,0,0,0.0
2026-09-24,weekday,arezzo,city-center,9279,Luggage Storage Piazza Grande,15,1,0,0.0,0,0,0.0
2026-09-25,weekday,arezzo,city-center,9279,Luggage Storage Piazza Grande,15,5,0,0.0,0,0,0.0
2026-09-26,weekend,arezzo,city-center,9279,Luggage Storage Piazza Grande,15,7,0,0.0,0,0,0.0
2026-09-23,weekday,asti,city-center,6451274,Luggage Storage Asti Cathedral,15,1,0,0.0,0,0,0.0
2026-09-24,weekday,asti,city-center,6451274,Luggage Storage Asti Cathedral,15,4,0,0.0,0,0,0.0
2026-09-25,weekday,asti,city-center,6451274,Luggage Storage Asti Cathedral,15,6,0,0.0,0,0,0.0
2026-09-26,weekend,asti,city-center,6451274,Luggage Storage Asti Cathedral,15,10,0,0.0,0,0,0.0
2026-09-23,weekday,asti,city-center,6451277,Luggage Storage Palazzo Mazzetti,15,1,0,0.0,0,0,0.0
2026-09-24,weekday,asti,city-center,6451277,Luggage Storage Palazzo Mazzetti,15,3,0,0.0,0,0,0.0
2026-09-25,weekday,asti,city-center,6451277,Luggage Storage Palazzo Mazzetti,15,5,0,0.0,0,0,0.0
2026-09-26,weekend,asti,city-center,6451277,Luggage Storage Palazzo Mazzetti,15,8,15,100.0,0,15,7.5
2026-09-24,weekday,avellino,city-center,4998,Luggage Storage Avellino City Center,100,2,0,0.0,0,0,0.0
2026-09-25,weekday,avellino,city-center,4998,Luggage Storage Avellino City Center,100,4,0,0.0,0,0,0.0
2026-09-26,weekend,avellino,city-center,4998,Luggage Storage Avellino City Center,100,8,0,0.0,0,0,0.0
2026-09-23,weekday,bari,altamura,6455039,Luggage Storage Altamura St Mary'S Cathedral,10,2,0,0.0,0,0,0.0
2026-09-24,weekday,bari,altamura,6455039,Luggage Storage Altamura St Mary'S Cathedral,10,5,0,0.0,0,0,0.0
2026-09-25,weekday,bari,altamura,6455039,Luggage Storage Altamura St Mary'S Cathedral,10,10,0,0.0,0,0,0.0
2026-09-26,weekend,bari,altamura,6455039,Luggage Storage Altamura St Mary'S Cathedral,10,11,0,0.0,0,0,0.0
2026-09-23,weekday,bari,bari-centrale-train-station,233,Luggage Storage Bari Centrale Train Station,300,2,0,0.0,0,0,0.0
2026-09-24,weekday,bari,bari-centrale-train-station,233,Luggage Storage Bari Centrale Train Station,300,4,0,0.0,0,0,0.0
2026-09-25,weekday,bari,bari-centrale-train-station,233,Luggage Storage Bari Centrale Train Station,300,10,0,0.0,0,0,0.0
2026-09-26,weekend,bari,bari-centrale-train-station,233,Luggage Storage Bari Centrale Train Station,300,10,0,0.0,0,0,0.0
2026-09-23,weekday,bari,bari-centrale-train-station,2652,Luggage Storage Bari Railway Station,300,1,0,0.0,0,0,0.0
2026-09-24,weekday,bari,bari-centrale-train-station,2652,Luggage Storage Bari Railway Station,300,4,0,0.0,0,0,0.0
2026-09-25,weekday,bari,bari-centrale-train-station,2652,Luggage Storage Bari Railway Station,300,6,0,0.0,0,0,0.0
2026-09-26,weekend,bari,bari-centrale-train-station,2652,Luggage Storage Bari Railway Station,300,7,0,0.0,0,0,0.0
2026-09-23,weekday,bari,bari-centrale-train-station,3515,Luggage Storage Piazza Umberto I,15,2,0,0.0,0,0,0.0
2026-09-25,weekday,bari,bari-centrale-train-station,3515,Luggage Storage Piazza Umberto I,15,6,0,0.0,0,0,0.0
2026-09-23,weekday,bari,bari-centrale-train-station,6452171,Luggage Storage Bari Centrale Station,100,1,0,0.0,0,0,0.0
2026-09-24,weekday,bari,bari-centrale-train-station,6452171,Luggage Storage Bari Centrale Station,100,4,4,4.0,0,4,2.0
2026-09-25,weekday,bari,bari-centrale-train-station,6452171,Luggage Storage Bari Centrale Station,100,7,11,11.0,2,9,5.5
2026-09-26,weekend,bari,bari-centrale-train-station,6452171,Luggage Storage Bari Centrale Station,100,10,3,3.0,2,1,1.5
2026-09-23,weekday,bari,bari-centrale-train-station,6455593,Luggage Storage Piccinni-Cavour,15,1,0,0.0,0,0,0.0
2026-09-24,weekday,bari,bari-centrale-train-station,6455593,Luggage Storage Piccinni-Cavour,15,2,0,0.0,0,0,0.0
2026-09-25,weekday,bari,bari-centrale-train-station,6455593,Luggage Storage Piccinni-Cavour,15,5,0,0.0,0,0,0.0
2026-09-26,weekend,bari,bari-centrale-train-station,6455593,Luggage Storage Piccinni-Cavour,15,3,0,0.0,0,0,0.0
2026-09-23,weekday,bari,bari-centrale-train-station,6455904,Luggage Storage near Bari Central Railway Station,10,1,0,0.0,0,0,0.0
2026-09-24,weekday,bari,bari-centrale-train-station,6455904,Luggage Storage near Bari Central Railway Station,10,2,0,0.0,0,0,0.0
2026-09-25,weekday,bari,bari-centrale-train-station,6455904,Luggage Storage near Bari Central Railway Station,10,6,0,0.0,0,0,0.0
2026-09-26,weekend,bari,bari-centrale-train-station,6455904,Luggage Storage near Bari Central Railway Station,10,8,0,0.0,0,0,0.0
2026-09-23,weekday,bari,bari-centrale-train-station,6455905,Luggage Storage near Giardini Piazza Umberto I,10,1,0,0.0,0,0,0.0
2026-09-24,weekday,bari,bari-centrale-train-station,6455905,Luggage Storage near Giardini Piazza Umberto I,10,2,0,0.0,0,0,0.0
2026-09-25,weekday,bari,bari-centrale-train-station,6455905,Luggage Storage near Giardini Piazza Umberto I,10,6,1,10.0,1,0,0.5
2026-09-26,weekend,bari,bari-centrale-train-station,6455905,Luggage Storage near Giardini Piazza Umberto I,10,8,0,0.0,0,0,0.0
2026-09-23,weekday,bari,bari-centrale-train-station,6455967,Luggage Storage near Castello Svevo Di Bari,100,1,0,0.0,0,0,0.0
2026-09-24,weekday,bari,bari-centrale-train-station,6455967,Luggage Storage near Castello Svevo Di Bari,100,2,0,0.0,0,0,0.0
2026-09-25,weekday,bari,bari-centrale-train-station,6455967,Luggage Storage near Castello Svevo Di Bari,100,6,0,0.0,0,0,0.0
2026-09-26,weekend,bari,bari-centrale-train-station,6455967,Luggage Storage near Castello Svevo Di Bari,100,7,2,2.0,0,2,1.0
2026-09-23,weekday,bari,bari-centrale-train-station,6459542,Luggage Storage Bari Central Railway Station,20,2,0,0.0,0,0,0.0
2026-09-24,weekday,bari,bari-centrale-train-station,6459542,Luggage Storage Bari Central Railway Station,20,2,0,0.0,0,0,0.0
2026-09-25,weekday,bari,bari-centrale-train-station,6459542,Luggage Storage Bari Central Railway Station,20,8,3,15.0,3,0,1.5
2026-09-26,weekend,bari,bari-centrale-train-station,6459542,Luggage Storage Bari Central Railway Station,20,8,2,10.0,2,0,1.0
2026-09-23,weekday,bari,bari-centrale-train-station,6459558,Luggage Storage near Pinacoteca Metropolitana,20,1,0,0.0,0,0,0.0
2026-09-24,weekday,bari,bari-centrale-train-station,6459558,Luggage Storage near Pinacoteca Metropolitana,20,2,0,0.0,0,0,0.0
2026-09-25,weekday,bari,bari-centrale-train-station,6459558,Luggage Storage near Pinacoteca Metropolitana,20,7,0,0.0,0,0,0.0
2026-09-26,weekend,bari,bari-centrale-train-station,6459558,Luggage Storage near Pinacoteca Metropolitana,20,8,0,0.0,0,0,0.0
2026-09-23,weekday,bari,bari-centrale-train-station,6459572,Luggage Storage Via Quintino Sella,20,2,0,0.0,0,0,0.0
