name,kind,lat,lng
Bödeli,neighbourhood,46.7632791,7.7129415
Europa,neighbourhood,45.2276221,9.4122281
Pedrinetta,neighbourhood,45.2304086,9.4204259
Musellina,neighbourhood,45.2439272,9.3988027
Pilota,neighbourhood,45.2443359,9.4019172
Quadrato,neighbourhood,45.2272364,9.4166595
Costa,neighbourhood,45.2375904,9.4063915
Pontecimato,suburb,44.0645617,10.0829868
Gatto Rosso,neighbourhood,44.0674355,10.0853097
Statuto,neighbourhood,43.7867895,11.2503819
Romito,neighbourhood,43.7871301,11.245753
Poggetto,neighbourhood,43.7948093,11.247866
San Marcellino,neighbourhood,43.7520015,11.293231
Gavinana,neighbourhood,43.7624144,11.2827221
Badia a Ripoli,neighbourhood,43.7552663,11.298646
Bellariva,neighbourhood,43.7680502,11.2843365
Coverciano,neighbourhood,43.7787422,11.2959996
San Salvi,neighbourhood,43.7722346,11.286036
Campo di Marte,neighbourhood,43.7817975,11.2864567
Le Cure,neighbourhood,43.7870158,11.2693344
Piazza,neighbourhood,44.0408589,10.6296277
Täfeli,neighbourhood,46.7758543,7.6599357
Güetli,neighbourhood,46.7736646,7.6621719
Santa Maria,neighbourhood,45.2357796,9.4017815
Gescal,neighbourhood,45.2342803,9.4028179
Vignole,neighbourhood,45.2353742,9.4124211
Guatra,neighbourhood,45.2397377,9.4100543
San Rocco,neighbourhood,45.2413825,9.4071316
Lazzaretto,neighbourhood,45.2382929,9.4168139
San Martino,neighbourhood,45.2385684,9.4129874
Dubrava,quarter,42.6612292,18.0597066
Legnaia,neighbourhood,43.7705299,11.2115148
Monticelli,neighbourhood,43.7716629,11.2250304
Pignone,neighbourhood,43.77117,11.2367946
San Frediano,neighbourhood,43.7697716,11.2437791
San Niccolò,neighbourhood,43.7642783,11.2613636
Oltrarno,neighbourhood,43.766103,11.2504739
Hladnica,quarter,42.648581,18.0829027
Kono,quarter,42.6512175,18.0975665
St. Margarethen,neighbourhood,47.135538,10.5141333
Pianner Eck,neighbourhood,47.1339086,10.5153778
San Quirico,neighbourhood,43.7296108,11.0062657
Erta,neighbourhood,43.7283549,11.0150098
Caleotto,suburb,45.8531275,9.4021555
Tre Colli,neighbourhood,36.7234885,15.0997157
Au,neighbourhood,47.2111146,10.706614
Krapinsko naselje,neighbourhood,45.5494845,18.6797995
Casale,suburb,40.6474063,17.9439153
Sciaia,suburb,40.6574704,17.958243
Paradiso,suburb,40.6495808,17.9183659
Villaggio San Paolo,suburb,40.6235221,17.9526713
Naselje Josip Rimac,suburb,45.150226,17.9905636
Fontelacasa,neighbourhood,41.9508684,14.6042019
Vignola a Mare,neighbourhood,42.1448288,14.7173554
San Lorenzo,quarter,42.1249816,14.6726233
Maddalena,quarter,42.1272942,14.688516
Incoronata,quarter,42.1408346,14.6991373
Casarza,neighbourhood,42.1195507,14.7191251
Sant'Antonio Abate,quarter,42.09452,14.6953592
Montevecchio,neighbourhood,42.0858617,14.7136681
Colle Pizzuto,neighbourhood,42.0748352,14.7071522
Villaggio S.I.V.,suburb,42.0644178,14.7266894
Piano di Marco,neighbourhood,42.0514654,14.714641
Polercia,neighbourhood,42.0641576,14.6925029
