day,city,area,points,capacity,peak,peak_pct,carry_in,bags_in,deposits
2026-09-23,florence,porta-al-prato,5,195,0,0.0,0,0,0.0
2026-09-23,florence,rifredi,2,35,0,0.0,0,0,0.0
2026-09-23,florence,san-lorenzo,4,180,0,0.0,0,0,0.0
2026-09-23,florence,san-marco-florence,3,65,0,0.0,0,0,0.0
2026-09-23,florence,san-niccolo,1,25,0,0.0,0,0,0.0
2026-09-23,florence,santa-croce,9,295,2,0.7,2,0,1.0
2026-09-23,florence,santa-maria-novella,13,770,32,4.2,32,0,16.0
2026-09-23,florence,santo-spirito,2,80,1,1.2,1,0,0.5
2026-09-23,florence,scandicci,1,300,0,0.0,0,0,0.0
2026-09-23,florence,stazione-via-panzani,1,30,0,0.0,0,0,0.0
2026-09-23,florence,via-de-boni,1,30,0,0.0,0,0,0.0
2026-09-23,florence,via-dell-albero,1,70,4,5.7,4,0,2.0
2026-09-23,genoa,brignole,4,80,0,0.0,0,0,0.0
2026-09-23,genoa,genoa-port,2,50,1,2.0,1,0,0.5
2026-09-23,genoa,maddalena,2,50,0,0.0,0,0,0.0
2026-09-23,genoa,orefici,1,15,0,0.0,0,0,0.0
2026-09-23,genoa,pegli,1,15,0,0.0,0,0,0.0
2026-09-23,genoa,piazza-de-ferrari,1,20,0,0.0,0,0,0.0
2026-09-23,genoa,piazza-principe,1,300,0,0.0,0,0,0.0
2026-09-23,gorizia,gorizia-train-station,1,25,0,0.0,0,0,0.0
2026-09-23,grosseto,city-centre,1,20,0,0.0,0,0,0.0
2026-09-23,la-spezia,la-spezia-centrale,7,330,1,0.3,1,0,0.5
2026-09-23,la-spezia,migliarina,1,50,0,0.0,0,0,0.0
2026-09-23,la-spezia,parco-dei-pesci,1,50,0,0.0,0,0,0.0
2026-09-23,lecce,lecce-city-center,8,305,0,0.0,0,0,0.0
2026-09-23,lecce,railway-station,6,170,1,0.6,1,0,0.5
2026-09-23,lecco,lecco-train-station,2,30,0,0.0,0,0,0.0
2026-09-23,lecco,train-station,1,30,0,0.0,0,0,0.0
2026-09-23,livorno,city-center,3,100,0,0.0,0,0,0.0
2026-09-23,livorno,livorno-train-station,2,75,0,0.0,0,0,0.0
2026-09-23,lucca,city-center,5,250,0,0.0,0,0,0.0
2026-09-23,lucca,lucca-train-station,5,595,0,0.0,0,0,0.0
2026-09-23,macerata,macerata-train-station,1,10,0,0.0,0,0,0.0
2026-09-23,massa,city-center,1,20,0,0.0,0,0,0.0
2026-09-23,matera,city-center,7,170,0,0.0,0,0,0.0
2026-09-23,matera,via-dei-messapi,1,60,0,0.0,0,0,0.0
2026-09-23,messina,messina-centrale,7,210,0,0.0,0,0,0.0
2026-09-23,milan,assago,1,20,0,0.0,0,0,0.0
2026-09-23,milan,bicocca,1,20,0,0.0,0,0,0.0
2026-09-23,milan,bullona,5,190,0,0.0,0,0,0.0
2026-09-23,milan,cadorna,1,200,0,0.0,0,0,0.0
