seen_on,city,area,storage_id,name,lat,lng,capacity,is_locker,open_24_7,reviews,rating,price_eur
2026-09-23,rome,roma-vatican-museums,6473172,Luggage Storage St Peter's Square,41.9035964,12.4583425,12,True,False,2,4.5,9.95
2026-09-23,rome,termini,6473159,Luggage Storage Via Marghera / Via Dei Mille,41.9030464,12.5047309,10,False,True,2,4,5.0
2026-09-23,rome,pantheon,6473158,Luggage Storage Pantheon,41.9000912,12.4776808,12,True,False,3,5,9.95
2026-09-23,rome,roma-vatican-museums,6473149,Luggage Storage Via della Giuliana,41.9110073,12.454963,100,False,False,0,0,5.0
2026-09-23,rome,san-giovanni,6473098,Luggage Storage Viale Carlo Felice,41.887263,12.510707,10,False,False,0,0,5.0
2026-09-23,rome,termini,6473095,Luggage Storage Viminale Bus Stop,41.9000558,12.494365,40,False,False,1,5,5.0
2026-09-23,rome,navona,6473024,Luggage Storage Via della Pace,41.8993393,12.4709953,50,False,False,9,5,5.0
2026-09-23,rome,navona,6473023,Luggage Storage Fontana dei Quattro Fiumi,41.8992561,12.4718978,60,False,False,0,0,5.0
2026-09-23,rome,navona,6473022,Luggage Storage Navona / Neptune Fountain,41.8999864,12.4723356,60,False,False,4,4.5,5.0
2026-09-23,rome,colosseum,6473021,Luggage Storage Cavour / Ricci,41.8940929,12.4905898,25,False,False,3,4.67,5.0
2026-09-23,rome,termini,6472962,Luggage Storage Termini / Amendola,41.8994136,12.5005238,18,True,False,14,4.91,9.95
2026-09-23,rome,termini,6472955,Luggage Storage Milazzo / Termini Station,41.9019169,12.5041452,100,False,True,0,0,5.0
2026-09-23,rome,termini,6472954,Luggage Storage Marsala / Milazzo,41.9019169,12.5041452,100,False,True,0,0,5.0
2026-09-23,rome,termini,6472953,Luggage Storage Milazzo / Magenta,41.9019169,12.5041452,100,False,True,1,5,5.0
2026-09-23,rome,pantheon,6472396,Luggage Storage near Pantheon,41.8999908,12.4759384,35,False,False,1,5,5.0
2026-09-23,rome,flaminio,6472354,Luggage Storage near Piazza del Popolo,41.9088202,12.4772215,50,False,False,5,5,5.0
