read_at,city,area,storage_id,name,day,hour,weekday,capacity,booked,free,status
2026-09-23 17:18,rome,ostiense,6470455,Luggage Storage near Ostiense,2026-09-23,18,weekday,20,0,20,read
2026-09-23 17:18,rome,ostiense,6470454,Luggage Storage Basilica S. Paolo,2026-09-23,18,weekday,50,0,50,read
2026-09-23 17:18,rome,termini,6470329,Luggage Storage Manin / Termini,2026-09-23,18,weekday,30,0,30,read
2026-09-23 17:18,rome,Municipio-Roma-X,6470296,Luggage Storage Casal Palocco,2026-09-23,18,weekday,30,0,30,read
2026-09-23 17:18,rome,furio-camillo,6470292,Luggage Storage near Colli Albani Metro Station,2026-09-23,18,weekday,20,0,20,read
2026-09-23 17:18,rome,pigneto-prenestina,6470291,Luggage Storage Ponte Casilino,2026-09-23,18,weekday,50,0,50,read
2026-09-23 17:18,rome,san-giovanni,6470190,Luggage Storage Ponte Lungo Metro Station,2026-09-23,18,weekday,25,0,25,read
2026-09-23 17:18,rome,pigneto,6470156,Luggage Storage Pigneto Metro Station,2026-09-23,18,weekday,20,0,20,read
2026-09-23 17:18,rome,termini,6469828,Luggage Storage Piazza dell'Esquilino,2026-09-23,18,weekday,300,0,300,read
2026-09-23 17:18,rome,repubblica,6469637,Luggage Storage Via Quattro Fontane,2026-09-23,18,weekday,50,0,50,read
2026-09-23 17:18,rome,ostia-1,6468366,Luggage Storage Corso Duca di Genova,2026-09-23,18,weekday,40,0,40,read
2026-09-23 17:18,rome,prati,6468191,Luggage Storage Via degli Scipioni,2026-09-23,18,weekday,30,0,30,read
2026-09-23 17:18,rome,pantheon,6468018,Luggage Storage near Piazza del Gesù,2026-09-23,18,weekday,50,0,50,read
2026-09-23 17:18,rome,esquilino,6463301,Luggage Storage Vittorio Emanuele Metro Station,2026-09-23,18,weekday,20,0,20,read
2026-09-23 17:18,rome,esquilino,6463300,Luggage Storage Porta Maggiore,2026-09-23,18,weekday,30,0,30,read
2026-09-23 17:18,rome,san-lorenzo,6463191,Luggage Storage Piazza Dei Sanniti,2026-09-23,18,weekday,10,0,10,read
2026-09-23 17:18,rome,s-pietro,6463140,Luggage Storage near Paul VI Hall,2026-09-23,18,weekday,20,0,20,read
2026-09-23 17:18,rome,pantheon,6462317,Luggage Storage near Galleria Doria Pamphilj,2026-09-23,18,weekday,20,0,20,read
2026-09-23 17:18,rome,lepanto,6462316,Luggage Storage Roma Ottaviano,2026-09-23,18,weekday,35,0,35,read
2026-09-23 17:18,rome,repubblica,6462240,Luggage Storage Tritone/ Barberini,2026-09-23,18,weekday,40,0,40,read
2026-09-23 17:18,rome,colosseum,6462225,Luggage Storage Colosseo Transit Stop,2026-09-23,18,weekday,20,0,20,read
2026-09-23 17:18,rome,san-giovanni,6462224,Luggage Storage Porta S. Giovanni,2026-09-23,18,weekday,20,0,20,read
2026-09-23 17:18,rome,manzoni,6462223,Luggage Storage Via Emanuele Filiberto,2026-09-23,18,weekday,20,0,20,read
2026-09-23 17:18,rome,trastevere,6461932,Luggage Storage near Piazza Trilussa,2026-09-23,18,weekday,20,0,20,read
2026-09-23 17:18,rome,ostiense,6461925,Luggage Storage Ostiense Railway Station,2026-09-23,18,weekday,20,1,19,read
2026-09-23 17:18,rome,portuense,6461877,Luggage Storage Trastevere Train Station,2026-09-23,18,weekday,100,0,100,read
2026-09-23 17:18,rome,s-pietro,6461618,Luggage Storage near St. Angelo Bridge,2026-09-23,18,weekday,50,0,50,read
2026-09-23 17:18,rome,piazza-di-san-pietro-in-vincoli,6461425,Luggage Storage Cipro/Bragadin,2026-09-23,18,weekday,20,0,20,read
2026-09-23 17:18,rome,san-lorenzo,6460798,Luggage Storage Roma San Lorenzo,2026-09-23,18,weekday,20,0,20,read
2026-09-23 17:18,rome,termini,6460703,Luggage Storage Via Carlo Cattaneo,2026-09-23,18,weekday,20,2,18,read
2026-09-23 17:18,rome,primavalle,6460001,Luggage Storage Circonvallazione Cornelia,2026-09-23,18,weekday,50,0,50,read
2026-09-23 17:18,rome,termini,6459912,Luggage Storage Amendola / Termini Station,2026-09-23,18,weekday,20,0,20,read
2026-09-23 17:18,rome,santa-maria-maggiore,6459910,Luggage Storage Gioberti / Santa Maria Maggiore,2026-09-23,18,weekday,100,0,100,read
2026-09-23 17:18,rome,pantheon,6459743,Luggage Storage Basilica Sant'Andrea Della Valle,2026-09-23,18,weekday,20,0,20,read
2026-09-23 17:18,rome,repubblica,6459675,Luggage Storage Piazza Del Viminale,2026-09-23,18,weekday,25,0,25,read
2026-09-23 17:18,rome,quartiere-xii-gianicolense,6458599,Luggage Storage Donna Olimpia,2026-09-23,18,weekday,20,0,20,read
2026-09-23 17:18,rome,pantheon,6458442,Luggage Storage Vittorio Emanuele / Argentina,2026-09-23,18,weekday,40,0,40,read
2026-09-23 17:18,rome,primavalle,6458086,Luggage Storage Cannuta / Battistini,2026-09-23,18,weekday,30,0,30,read
2026-09-23 17:18,rome,repubblica,6458063,Luggage Storage Largo del Tritone,2026-09-23,18,weekday,50,0,50,read
2026-09-23 17:18,rome,repubblica,6457946,Luggage Storage near Church of Santa Maria della Vittoria,2026-09-23,18,weekday,35,2,33,read
2026-09-23 17:18,rome,rione-ix-pigna,6457939,Luggage Storage near Trevi Fountain,2026-09-23,18,weekday,50,0,50,read
2026-09-23 17:18,rome,castel-sant-angelo,6457822,Luggage Storage near Sant'Angelo Castle,2026-09-23,18,weekday,60,0,60,read
2026-09-23 17:18,rome,termini,6457601,Luggage Storage Amedeo / Termini,2026-09-23,18,weekday,20,0,20,read
2026-09-23 17:18,rome,esquilino,6457599,Luggage Storage Nuovo Mercato Esquilino,2026-09-23,18,weekday,35,0,35,read
2026-09-23 17:18,rome,vatican,6457407,Luggage Storage Ottaviano Metro Station,2026-09-23,18,weekday,15,0,15,read
2026-09-23 17:18,rome,termini,6457349,Luggage Storage Termini Metro Station,2026-09-23,18,weekday,45,1,44,read
2026-09-23 17:18,rome,esquilino,6457222,Luggage Storage Roma Porta Maggiore,2026-09-23,18,weekday,20,0,20,read
2026-09-23 17:18,rome,esquilino,6457185,Luggage Storage Basilica of San Giovanni in Laterano,2026-09-23,18,weekday,35,1,34,read
2026-09-23 17:18,rome,monti,6457113,Luggage Storage Urbana / Panisperna,2026-09-23,18,weekday,20,0,20,read
2026-09-23 17:18,rome,monti,6457108,Luggage Storage Roma Monti,2026-09-23,18,weekday,35,2,33,read
2026-09-23 17:18,rome,termini,6457058,Luggage Storage Basilica of Saint Pudentiana,2026-09-23,18,weekday,40,0,40,read
2026-09-23 17:18,rome,quartiere-xv-della-vittoria,6457040,Luggage Storage Piazzale Clodio,2026-09-23,18,weekday,20,0,20,read
2026-09-23 17:18,rome,san-giovanni,6457022,Luggage Storage Magna Grecia/Tuscolo,2026-09-23,18,weekday,35,0,35,read
2026-09-23 17:18,rome,pantheon,6456917,Luggage Storage Giubbonari / Cairoli,2026-09-23,18,weekday,20,0,20,read
2026-09-23 17:18,rome,piazza-campo-de-fiori,6456889,Luggage Storage Via Dei Giubbonari,2026-09-23,18,weekday,25,0,25,read
2026-09-23 17:18,rome,piazza-campo-de-fiori,6456888,Luggage Storage near Campo De' Fiori,2026-09-23,18,weekday,50,2,48,read
2026-09-23 17:18,rome,piazza-campo-de-fiori,6456886,Luggage Storage Theatre Of Pompey,2026-09-23,18,weekday,30,0,30,read
2026-09-23 17:18,rome,termini,6456879,Luggage Storage near Terme Di Diocleziano,2026-09-23,18,weekday,30,0,30,read
2026-09-23 17:18,rome,trastevere,6456815,Luggage Storage Testaccio,2026-09-23,18,weekday,25,0,25,read
