seen_on,brand,city,name,lat,lng,capacity,reviews,rating,price_from,note,url
2026-09-23,stowyourbags,brescia,Brescia Train Station,45.5330686,10.2131944,,147,4.9,1.49,"sizes=3;address=Viale della Stazione 72, 25124 Brescia",https://www.stowyourbags.com/en/shop/brescia/luggage-storage-train-station/
2026-09-23,stowyourbags,pisa,Pisa Centrale Train Station,43.708755,10.401779,,257,4.8,1.49,"sizes=3;address=Via Amerigo Vespucci 91, 56125 Pisa",https://www.stowyourbags.com/en/shop/pisa/pisa-city-center/
2026-09-23,stowyourbags,rome,St. Peter's Basilica,41.899606,12.466173,,290,4.9,1.49,"sizes=3;address=Corso Vittorio Emanuele II 310, 00186 Roma",https://www.stowyourbags.com/en/shop/rome/st-peter-castel-sant-angelo/
2026-09-23,stowyourbags,milan,Duomo District,45.462142,9.185314,,594,4.8,1.49,"sizes=3;address=Via Valpetrosa 5,  20123 Milano",https://www.stowyourbags.com/en/shop/milan/milan-cathedral/
2026-09-23,stowyourbags,bologna,Sant'Orsola Hospital,44.490235,11.363857,,15,4.9,0.99,"sizes=2;address=Via Pietro Albertoni, 15, 40138 Bologna BO",https://www.stowyourbags.com/en/shop/bologna/santorsola-hospital/
2026-09-23,stowyourbags,venice,Rialto Bridge,45.4391,12.337428,,95,4.9,1.49,"sizes=3;address=Cannaregio 5886 a, 30121 Venezia",https://www.stowyourbags.com/en/shop/venice/san-marco-rialto-bridge/
2026-09-23,stowyourbags,parma,Parma Train Station,44.809235,10.327646,,65,4.6,2.99,"sizes=1;address=Piazzale Carlo Alberto Dalla Chiesa 7D, 43121 Parma",https://www.stowyourbags.com/en/shop/parma/luggage-storage-train-station-parma/
2026-09-23,stowyourbags,bologna,Piazza Maggiore | City Center,44.49541,11.340592,,99,4.9,1.49,"sizes=3;address=Via Calcavinazzi 2e, 40121 Bologna",https://www.stowyourbags.com/en/shop/bologna/luggage-storage-bologna-city-center/
2026-09-23,stowyourbags,milan,Porta Garibaldi Train Station,45.482192,9.187991,,62,4.8,1.49,"sizes=3;address=Via Carlo de Cristoforis 2, 20124 Milano",https://www.stowyourbags.com/en/shop/milan/luggage-storage-porta-garibaldi/
2026-09-23,stowyourbags,naples,Naples Port - Molo Beverello,40.839324,14.251338,,70,4.9,1.49,"sizes=3;address=Via Giuseppe Pisanelli 25, 80133 Napoli NA",https://www.stowyourbags.com/en/shop/naples/luggage-storage-port-molo-beverello/
