updated_at,club,cover,day_type,time_band,days_observed,half_hours_observed,half_hours_booked,booked_share
2026-09-25 22:26,SPH - Treviso Sporting,outdoor,weekend,afternoon,1,21,3,0.143
2026-09-25 22:26,SPH - Treviso Sporting,outdoor,weekend,evening,1,6,6,1.0
2026-09-25 22:26,SPH - Treviso Sporting,outdoor,weekend,lunch,1,6,0,0.0
2026-09-25 22:26,SPH - Treviso Sporting,outdoor,weekend,morning,1,6,0,0.0
2026-09-25 22:26,SPH - Venezia,indoor,weekday,afternoon,6,155,84,0.542
2026-09-25 22:26,SPH - Venezia,indoor,weekday,evening,7,160,122,0.762
2026-09-25 22:26,SPH - Venezia,indoor,weekday,lunch,5,90,19,0.211
2026-09-25 22:26,SPH - Venezia,indoor,weekday,morning,3,80,12,0.15
2026-09-25 22:26,SPH - Venezia,indoor,weekend,afternoon,1,40,4,0.1
2026-09-25 22:26,SPH - Venezia,indoor,weekend,evening,1,20,20,1.0
2026-09-25 22:26,SPH - Venezia,indoor,weekend,lunch,2,25,3,0.12
2026-09-25 22:26,SPH - Venezia,indoor,weekend,morning,1,10,2,0.2
2026-09-25 22:26,Sporting Club Mestre,indoor,weekday,afternoon,6,82,34,0.415
2026-09-25 22:26,Sporting Club Mestre,indoor,weekday,evening,7,62,49,0.79
2026-09-25 22:26,Sporting Club Mestre,indoor,weekday,lunch,6,46,6,0.13
2026-09-25 22:26,Sporting Club Mestre,indoor,weekday,morning,5,36,6,0.167
2026-09-25 22:26,Sporting Club Mestre,indoor,weekend,afternoon,1,16,15,0.938
2026-09-25 22:26,Sporting Club Mestre,indoor,weekend,evening,1,2,2,1.0
2026-09-25 22:26,Sporting Club Mestre,indoor,weekend,lunch,2,10,2,0.2
2026-09-25 22:26,Sporting Club Mestre,indoor,weekend,morning,1,4,0,0.0
2026-09-25 22:26,Sporting Club Mestre,outdoor,weekday,afternoon,6,82,48,0.585
2026-09-25 22:26,Sporting Club Mestre,outdoor,weekday,evening,7,62,46,0.742
2026-09-25 22:26,Sporting Club Mestre,outdoor,weekday,lunch,6,46,19,0.413
2026-09-25 22:26,Sporting Club Mestre,outdoor,weekday,morning,5,36,17,0.472
2026-09-25 22:26,Sporting Club Mestre,outdoor,weekend,afternoon,1,16,13,0.812
2026-09-25 22:26,Sporting Club Mestre,outdoor,weekend,evening,1,2,2,1.0
2026-09-25 22:26,Sporting Club Mestre,outdoor,weekend,lunch,2,10,5,0.5
2026-09-25 22:26,Sporting Club Mestre,outdoor,weekend,morning,1,4,4,1.0
