spot_id,city,lat,lng,area,source
ea560866-0393-45e0-aca0-b6606ea1f9c4,rome,41.9055699,12.4632464,castel-sant-angelo,radical
0af27da5-ec80-441c-a0d5-e8434a18fa2c,rome,41.912836,12.4538062,ottaviano,radical
cfb0e3e8-9342-4951-b139-2a9a80a0c669,rome,41.9133078,12.4510235,ottaviano,radical
76f52173-7e26-42ec-8858-7ba1fe8aa940,rome,41.8999416656526,12.464596000502853,castel-sant-angelo,radical
87084b7c-0dd0-4af0-bbd3-e862e1138126,rome,41.8964046,12.4787088,pantheon,radical
c98e3d9e-e375-4d3f-b055-48fcc34f4583,rome,41.907217,12.4540619,roma-vatican-museums,radical
db209203-5182-48a5-97bf-a5f322b4de16,rome,41.892647392438874,12.480819950069746,piazza-venezia,radical
ae4d1179-de0a-422c-a14b-a23b9dbf15a8,rome,41.9166762,12.4613879,quartiere-xv-della-vittoria,radical
5da4e1d2-3808-4a5f-9ba0-641a105b0387,rome,41.8810238,12.4554603,quartiere-xii-gianicolense,radical
e3691104-4dd1-4570-93cb-860488fbec82,rome,41.9069742,12.4589118,vatican,radical
9135ddbc-cf67-458d-99a2-cf32453899a4,rome,41.9324455,12.4657448,parioli,radical
d1eb8b67-391b-48e8-98a3-d8a03d72bab2,rome,41.909294,12.4940815,porta-pinciana,radical
e99f0e8a-0abe-4b9f-a404-9a20a64280de,rome,41.90705699999999,12.4443413,termini,radical
f72fb979-4a1a-4f93-a23e-a18530153af8,rome,41.90350736246813,12.480040086638724,trevi,radical
fcaaddb2-f91a-4c53-b45d-b89ddab864c9,rome,41.90666149459708,12.536075906559152,tiburtina,radical
40055f0d-cfc2-4ac2-b9b2-eb38510ba44a,rome,41.9171778,12.4558843,quartiere-xv-della-vittoria,radical
cdb9b5a7-fb1b-4b4a-88ca-4c82617a92bb,rome,41.9021322,12.4956822,repubblica,radical
037df59c-2bda-4c86-9e07-af548623b42e,rome,41.9088017,12.4617277,ottaviano,radical
1e96557d-1fe8-4eac-a627-6f125b17469b,rome,41.8912757,12.5194696,esquilino,radical
9d809354-5bf4-4452-8b10-3b628bdac207,rome,41.8968803,12.4946984,monti,radical
2e861b37-9f3b-496d-97e1-28a3a7353711,rome,41.7985664,12.6041318,ciampino,radical
2aec2e0e-995c-4d25-ae7c-1c5dd6748380,rome,41.9090458,12.46069609999995,ottaviano,radical
c6a24103-cb04-4951-80f9-2f5d40e2fdf5,rome,41.8951646,12.4774259,pantheon,radical
da8415d9-3589-4e63-944f-7c456119d760,rome,41.8833118,12.4872626,trastevere,radical
32fd3456-4287-4603-8c43-8d12c5d05574,rome,41.89441559999999,12.4741782,piazza-campo-de-fiori,radical
d274acd1-830b-420b-8801-a31b90a35ce7,rome,41.9076996,12.4552999,vatican,radical
054837ce-69f8-4c28-9d49-0ebb38151785,rome,41.8953412,12.4741158,piazza-campo-de-fiori,radical
e9a7432d-d406-4e94-93fb-ec140e240c17,rome,41.8752367,12.4799527,porta-s-paolo,radical
c3b658bf-42fb-44c8-b875-6c6edf12c2b2,rome,41.8893302,12.4712043,trastevere,radical
4dfe6320-4b7c-41cd-b474-00858e50f290,rome,41.9081916,12.4677914,prati,radical
87f54090-d181-4da1-a614-ef9e8d03d77b,rome,41.906453895204045,12.481763465775554,pantheon,radical
d864ef5f-dc99-4505-844f-f5341d4f7f42,rome,41.8986321,12.4327555,baldo-degli-ubaldi-station,radical
e1957bf0-3dc6-4330-a74f-907569380089,rome,41.90338089999999,12.4825327,pantheon,radical
9ae2d556-54ff-4cf5-9fbd-d36bb3ea3542,rome,41.8977377,12.5019878,roman-forum,radical
7fd1bf86-0bc8-4b33-ad8c-46a90a7eaafe,rome,41.751486571667016,12.356077795257576,Municipio-Roma-X,radical
ffe1d2da-7295-4f2a-8f31-dded4ed50cdf,rome,41.8994202,12.4819976,rione-ix-pigna,radical
ab963a13-31c1-408b-b39f-6df69745ac60,rome,41.8978239,12.4567347,s-pietro,radical
77907816-e76e-4db9-9a4e-ea860f1f0702,rome,41.8921233,12.5046645,manzoni,radical
6681fc8a-a420-430d-bf39-3b8fdb354ba1,rome,41.8894543,12.5069202,manzoni,radical
3893ec82-8d44-4f6b-b909-397c31264cca,rome,41.9302935,12.4646185,roma-stadio-olimpico,radical
cb5b0a9a-e935-4e73-9ae6-7459923f5125,rome,41.90746722300708,12.454267162565657,roma-vatican-museums,radical
c5ba6aee-bf56-4a8c-91bf-f72e01ff6a2a,rome,41.9043278,12.4997119,termini,radical
efc5bf68-e2b4-47f5-9c64-18e2953b1960,rome,41.9022521,12.4870459,trevi,radical
5ee0c55d-cb1f-4d19-bb15-80ea7ca09ddc,rome,41.873307,12.4661917,trastevere,radical
311e9cef-29cc-4c17-97cd-5622f283465f,rome,41.897275,12.4319446,baldo-degli-ubaldi-station,radical
6adab3c1-b8ba-4240-b508-96420231e4dd,rome,41.909894,12.5227674,tiburtina,radical
de6f40cd-a095-4e00-8187-46a43b89853e,rome,41.8951483,12.5091882,esquilino,radical
b7ec1f4d-b2cf-40de-ae2c-223f493ae443,rome,41.8964935,12.475485,pantheon,radical
5f24aa21-fc3d-4999-a816-a647eed2960f,rome,41.894185956638864,12.473890215099743,pantheon,radical
2e2d24db-29bf-440a-a4f2-dd7b209d3c0d,rome,41.92956929012884,12.51196204603275,nomentana,radical
5fc38fed-bae2-4564-803e-2990e9959d63,rome,41.9044642,12.500246,repubblica,radical
14b0c6bc-58d8-4d34-9fc4-b88082faba5d,rome,41.9006934,12.4657126,castel-sant-angelo,radical
611f4aa6-8247-483f-a248-4a2b348d04aa,rome,41.8883616,12.4779634,bocca-della-verita,radical
023d4011-459b-493f-aef8-b382ae2271ed,rome,41.8948508,12.4991981,brancaccio,radical
6a8a4fbe-13cb-400e-92a2-56c4caf18eb7,rome,41.8716471,12.4824552,ostiense,radical
a93d8f55-44cb-4e8f-bb85-bcc833c9bcab,rome,41.909145,12.5216388,tiburtina,radical
71175c4b-4de7-4ce6-9b29-8c2ea1054915,rome,41.9084911,12.497406100000035,termini,radical
2cc8ceca-e9eb-4b07-90ed-16d63c471d7a,rome,41.9154406,12.4559516,quartiere-xv-della-vittoria,radical
