key,area,city_osm,source
"38.0881,13.4630",,,unknown
"38.0893,13.5380",,,unknown
"38.0913,13.3620",,,unknown
"38.0972,13.3327",,,unknown
"38.1015,13.3809",,,unknown
"38.1030,13.3362",,,unknown
"38.1033,13.3693",,,unknown
"38.1061,13.3688",,,unknown
"38.1063,13.3674",,,unknown
"38.1072,13.3728",,,unknown
"38.1075,13.3408",,,unknown
"38.1075,13.3594",,,unknown
"38.1080,13.3663",,,unknown
"38.1083,13.3809",,,unknown
"38.1084,13.3540",,,unknown
"38.1090,13.3668",,,unknown
"38.1092,13.3655",,,unknown
"38.1094,13.3718",,,unknown
"38.1095,13.3656",,,unknown
"38.1096,13.3682",,,unknown
"38.1099,13.3542",,,unknown
"38.1099,13.3716",,,unknown
"38.1105,13.3417",,,unknown
"38.1111,13.3666",,,unknown
"38.1112,13.3649",,,unknown
"38.1114,13.3641",,,unknown
"38.1122,13.3522",,,unknown
"38.1123,13.3662",,,unknown
"38.1126,13.3657",,,unknown
"38.1128,13.3654",,,unknown
"38.1130,13.3633",,,unknown
"38.1131,13.3652",,,unknown
"38.1132,13.3633",,,unknown
"38.1134,13.3559",,,unknown
"38.1139,13.3599",,,unknown
"38.1144,13.3659",,,unknown
"38.1150,13.3663",,,unknown
"38.1153,13.3637",,,unknown
"38.1153,13.3638",,,unknown
"38.1153,13.3640",,,unknown
"38.1155,13.3681",,,unknown
"38.1157,13.3639",,,unknown
"38.1157,13.3674",,,unknown
"38.1163,13.3538",,,unknown
"38.1163,13.3613",,,unknown
"38.1169,13.3564",,,unknown
"38.1169,13.3725",,,unknown
"38.1170,13.3573",,,unknown
"38.1173,13.3565",,,unknown
"38.1174,13.3610",,,unknown
"38.1177,13.3645",,,unknown
"38.1179,13.3600",,,unknown
"38.1182,13.3631",,,unknown
"38.1186,13.3688",,,unknown
"38.1189,13.3485",,,unknown
"38.1192,13.3645",,,unknown
"38.1193,13.3527",,,unknown
"38.1194,13.3650",,,unknown
"38.1202,13.3558",,,unknown
"38.1203,13.3594",,,unknown
"38.1205,13.3618",,,unknown
"38.1207,13.3584",,,unknown
"38.1210,13.3532",,,unknown
"38.1214,13.3561",,,unknown
"38.1214,13.3590",,,unknown
"38.1216,13.3503",,,unknown
"38.1216,13.3567",,,unknown
"38.1217,13.3547",,,unknown
"38.1219,13.3520",,,unknown
"38.1224,13.3401",,,unknown
"38.1227,13.3466",,,unknown
"38.1229,13.3622",,,unknown
"38.1230,13.3570",,,unknown
"38.1233,13.3494",,,unknown
"38.1234,13.3654",,,unknown
"38.1238,13.3638",,,unknown
"38.1239,13.3600",,,unknown
"38.1245,13.3584",,,unknown
"38.1248,13.3474",,,unknown
"38.1250,13.3497",,,unknown
"38.1250,13.3625",,,unknown
"38.1251,13.3550",,,unknown
"38.1257,13.3375",,,unknown
"38.1259,13.3629",,,unknown
"38.1260,13.3470",,,unknown
"38.1262,13.3611",,,unknown
"38.1263,13.3612",,,unknown
"38.1269,13.3532",,,unknown
"38.1270,13.3121",,,unknown
"38.1280,13.3302",,,unknown
"38.1285,13.3544",,,unknown
"38.1286,13.3417",,,unknown
"38.1288,13.3476",,,unknown
"38.1295,13.3381",,,unknown
"38.1305,13.3435",,,unknown
"38.1309,13.3349",,,unknown
"38.1331,13.3449",,,unknown
"38.1336,13.3442",,,unknown
"38.1341,13.3470",,,unknown
"38.1350,13.3316",,,unknown
"38.1355,13.3145",,,unknown
"38.1355,13.3463",,,unknown
"38.1362,13.3523",,,unknown
"38.1372,13.3502",,,unknown
"38.1395,13.3137",,,unknown
"38.1410,13.3482",,,unknown
"38.1424,13.3343",,,unknown
"38.1428,13.3478",,,unknown
"38.1455,13.3341",,,unknown
"38.1460,13.3319",,,unknown
"38.1466,13.3390",,,unknown
"38.1961,13.3116",,,unknown
"38.1971,13.3311",,,unknown
"38.1979,13.2478",,,unknown
"38.2078,13.3269",,,unknown
"40.6599,14.4407",,,unknown
"40.6619,14.4257",,,unknown
"40.6623,14.4481",,,unknown
"40.6630,14.4296",,,unknown
"40.6634,14.4283",,,unknown
"40.6651,14.4459",,,unknown
"40.6977,14.4826",,,unknown
"40.7656,14.0270",,,unknown
"40.7973,14.0655",,,unknown
"40.7975,14.0504",,,unknown
"40.8035,14.1968",,,unknown
"40.8054,14.0795",,,unknown
"40.8137,14.2072",,,unknown
"40.8152,14.1690",,,unknown
"40.8152,14.1879",,,unknown
"40.8167,14.1661",,,unknown
"40.8169,14.1639",,,unknown
"40.8171,14.1684",,,unknown
"40.8175,14.1691",,,unknown
"40.8176,14.1693",,,unknown
"40.8176,14.1774",,,unknown
"40.8187,14.1626",,,unknown
"40.8190,14.1659",,,unknown
"40.8190,14.1792",,,unknown
"40.8194,14.1720",,,unknown
"40.8207,14.1875",,,unknown
"40.8216,14.2075",,,unknown
"40.8223,14.1913",,,unknown
"40.8226,14.1188",,,unknown
"40.8230,14.1932",,,unknown
"40.8243,14.1277",,,unknown
"40.8244,14.1967",,,unknown
"40.8245,14.1205",,,unknown
"40.8246,14.1968",,,unknown
"40.8251,14.1212",,,unknown
"40.8252,14.1845",,,unknown
"40.8254,14.1799",,,unknown
"40.8259,14.1959",,,unknown
"40.8274,14.1985",,,unknown
"40.8274,14.1989",,,unknown
"40.8275,14.1757",,,unknown
"40.8278,14.1966",,,unknown
"40.8279,14.2022",,,unknown
"40.8293,14.1600",,,unknown
"40.8300,14.1937",,,unknown
"40.8300,14.2077",,,unknown
"40.8304,14.3111",,,unknown
"40.8309,14.2225",,,unknown
"40.8309,14.2237",,,unknown
"40.8310,14.1926",,,unknown
"40.8317,14.2221",,,unknown
"40.8317,14.2485",,,unknown
"40.8319,14.2232",,,unknown
"40.8321,14.2427",,,unknown
"40.8321,14.3427",,,unknown
"40.8322,14.2003",,,unknown
"40.8322,14.2243",,,unknown
"40.8325,14.2253",,,unknown
"40.8325,14.2482",,,unknown
"40.8329,14.2270",,,unknown
"40.8336,14.2299",,,unknown
"40.8338,14.2374",,,unknown
"40.8346,14.0970",,,unknown
"40.8346,14.3455",,,unknown
"40.8353,14.2215",,,unknown
"40.8353,14.2315",,,unknown
"40.8355,14.2456",,,unknown
"40.8355,14.2457",,,unknown
"40.8357,14.2394",,,unknown
"40.8357,14.2465",,,unknown
"40.8358,14.2469",,,unknown
"40.8358,14.3051",,,unknown
"40.8358,14.3262",,,unknown
"40.8359,14.2354",,,unknown
"40.8363,14.2448",,,unknown
"40.8367,14.2395",,,unknown
"40.8368,14.2335",,,unknown
"40.8369,14.2477",,,unknown
"40.8371,14.2471",,,unknown
"40.8374,14.2470",,,unknown
"40.8374,14.2479",,,unknown
"40.8374,14.3431",,,unknown
"40.8378,14.2441",,,unknown
"40.8379,14.2475",,,unknown
"40.8380,14.2482",,,unknown
"40.8381,14.2999",,,unknown
"40.8384,14.2486",,,unknown
"40.8385,14.2472",,,unknown
"40.8393,14.2513",,,unknown
"40.8394,14.3165",,,unknown
"40.8396,14.2549",,,unknown
"40.8396,14.2550",,,unknown
"40.8399,14.2536",,,unknown
"40.8400,14.2505",,,unknown
"40.8400,14.2553",,,unknown
"40.8402,14.2539",,,unknown
"40.8403,14.2527",,,unknown
"40.8404,14.2549",,,unknown
"40.8408,14.2476",,,unknown
"40.8409,14.3174",,,unknown
"40.8411,14.2175",,,unknown
"40.8411,14.2192",,,unknown
"40.8411,14.2561",,,unknown
"40.8412,14.2481",,,unknown
"40.8412,14.2483",,,unknown
"40.8413,14.2459",,,unknown
"40.8413,14.2494",,,unknown
"40.8414,14.2526",,,unknown
"40.8416,14.2533",,,unknown
"40.8416,14.2543",,,unknown
"40.8419,14.2511",,,unknown
"40.8420,14.2527",,,unknown
"40.8420,14.2557",,,unknown
"40.8420,14.3147",,,unknown
"40.8421,14.2488",,,unknown
"40.8421,14.2489",,,unknown
"40.8421,14.2553",,,unknown
"40.8422,14.2238",,,unknown
"40.8424,14.2219",,,unknown
"40.8424,14.2220",,,unknown
"40.8425,14.2509",,,unknown
"40.8425,14.3167",,,unknown
"40.8426,14.2528",,,unknown
"40.8427,14.2313",,,unknown
"40.8428,14.2564",,,unknown
"40.8429,14.2255",,,unknown
"40.8430,14.2444",,,unknown
"40.8432,14.2530",,,unknown
"40.8432,14.2554",,,unknown
"40.8434,14.2494",,,unknown
"40.8434,14.2495",,,unknown
"40.8435,14.2496",,,unknown
"40.8436,14.2273",,,unknown
"40.8438,14.2320",,,unknown
"40.8439,14.2836",,,unknown
"40.8441,14.2229",,,unknown
"40.8442,14.2525",,,unknown
"40.8442,14.2586",,,unknown
"40.8443,14.2567",,,unknown
"40.8444,14.2328",,,unknown
"40.8444,14.2569",,,unknown
"40.8445,14.2557",,,unknown
"40.8446,14.2589",,,unknown
"40.8447,14.2514",,,unknown
"40.8448,14.2488",,,unknown
"40.8448,14.2574",,,unknown
"40.8450,14.2627",,,unknown
"40.8451,14.2485",,,unknown
"40.8452,14.2325",,,unknown
"40.8452,14.2596",,,unknown
"40.8452,14.2608",,,unknown
"40.8453,14.2010",,,unknown
"40.8454,14.2495",,,unknown
"40.8455,14.2040",,,unknown
"40.8457,14.1984",,,unknown
"40.8457,14.2024",,,unknown
"40.8457,14.2307",,,unknown
"40.8457,14.2506",,,unknown
"40.8459,14.2375",,,unknown
"40.8463,14.2218",,,unknown
"40.8463,14.2317",,,unknown
"40.8463,14.2612",,,unknown
"40.8463,14.2623",,,unknown
"40.8464,14.2621",,,unknown
"40.8464,14.2625",,,unknown
"40.8464,14.2629",,,unknown
"40.8466,14.2513",,,unknown
"40.8467,14.2477",,,unknown
"40.8468,14.2498",,,unknown
"40.8468,14.2753",,,unknown
"40.8470,14.2214",,,unknown
"40.8471,14.2462",,,unknown
"40.8473,14.2675",,,unknown
"40.8474,14.2496",,,unknown
"40.8475,14.1918",,,unknown
"40.8476,14.2289",,,unknown
"40.8477,14.2462",,,unknown
"40.8477,14.2539",,,unknown
"40.8478,14.2462",,,unknown
"40.8480,14.2540",,,unknown
"40.8481,14.2248",,,unknown
"40.8482,14.2493",,,unknown
"40.8483,14.1948",,,unknown
"40.8483,14.1993",,,unknown
"40.8483,14.2271",,,unknown
"40.8483,14.2303",,,unknown
"40.8483,14.2305",,,unknown
"40.8484,14.2494",,,unknown
"40.8485,14.2493",,,unknown
"40.8485,14.2633",,,unknown
"40.8486,14.2206",,,unknown
"40.8486,14.2525",,,unknown
"40.8486,14.2557",,,unknown
"40.8486,14.2635",,,unknown
"40.8487,14.2346",,,unknown
"40.8487,14.2832",,,unknown
"40.8488,14.2560",,,unknown
"40.8489,14.2685",,,unknown
"40.8489,14.2687",,,unknown
"40.8493,14.2606",,,unknown
"40.8496,14.2528",,,unknown
"40.8496,14.2555",,,unknown
"40.8496,14.2861",,,unknown
"40.8497,14.2360",,,unknown
"40.8497,14.2526",,,unknown
"40.8497,14.2591",,,unknown
"40.8497,14.2749",,,unknown
"40.8498,14.2593",,,unknown
"40.8499,14.2492",,,unknown
"40.8500,14.2235",,,unknown
"40.8500,14.2734",,,unknown
"40.8502,14.2417",,,unknown
"40.8502,14.2637",,,unknown
"40.8502,14.2661",,,unknown
"40.8502,14.2689",,,unknown
"40.8503,14.2655",,,unknown
"40.8503,14.2672",,,unknown
"40.8504,14.2499",,,unknown
"40.8504,14.2672",,,unknown
"40.8505,14.2600",,,unknown
"40.8505,14.2726",,,unknown
"40.8506,14.2638",,,unknown
"40.8506,14.2726",,,unknown
"40.8506,14.2728",,,unknown
"40.8507,14.2724",,,unknown
"40.8509,14.2494",,,unknown
"40.8509,14.2662",,,unknown
"40.8509,14.2722",,,unknown
"40.8510,14.2671",,,unknown
"40.8510,14.2703",,,unknown
"40.8511,14.2577",,,unknown
